,age,gender,split,final
0,33,M,01:05:38,02:08:51
1,32,M,01:06:26,02:09:28
2,31,M,01:06:49,02:10:42
3,38,M,01:06:16,02:13:45
4,31,M,01:06:32,02:13:59
5,31,M,01:06:13,02:14:11
6,27,M,01:06:40,02:14:28
7,31,M,01:06:31,02:15:16
8,30,M,01:05:39,02:15:57
9,30,M,01:05:40,02:16:39
10,26,M,01:08:10,02:18:18
11,29,M,01:05:54,02:18:52
12,28,M,01:08:59,02:19:36
13,24,M,01:09:16,02:19:45
14,37,M,01:05:21,02:19:47
15,25,M,01:09:52,02:20:17
16,22,M,01:09:53,02:20:57
17,30,M,01:05:40,02:21:17
18,26,M,01:10:11,02:21:24
19,36,M,01:10:35,02:21:55
20,28,M,01:11:59,02:22:14
21,31,M,01:05:54,02:22:20
22,41,M,01:09:14,02:22:27
23,24,M,01:11:18,02:22:55
24,26,M,01:10:17,02:22:56
25,36,M,01:06:39,02:23:31
26,28,M,01:10:32,02:23:39
27,29,M,01:12:25,02:23:48
28,34,W,01:12:35,02:24:13
29,31,M,01:14:07,02:25:19
30,39,W,01:13:13,02:25:37
31,29,M,01:09:59,02:25:38
32,29,W,01:13:09,02:25:50
33,31,M,01:13:24,02:25:56
34,30,M,01:11:51,02:26:15
35,30,M,01:08:34,02:26:36
36,34,M,01:06:20,02:27:22
37,27,M,01:12:23,02:27:24
38,23,M,01:13:42,02:27:32
39,37,M,01:12:10,02:28:08
40,36,W,01:12:57,02:28:13
41,27,W,01:13:07,02:28:27
42,39,M,01:12:57,02:28:36
43,38,M,01:13:08,02:28:51
44,47,M,01:15:38,02:28:55
45,36,W,01:13:00,02:28:56
46,34,W,01:12:47,02:29:07
47,24,W,01:13:39,02:29:10
48,38,M,01:13:30,02:29:12
49,35,M,01:12:52,02:29:15
50,35,M,01:13:51,02:29:35
51,39,M,01:12:41,02:29:35
52,36,W,01:13:44,02:29:38
53,33,M,01:13:40,02:29:52
54,22,M,01:09:44,02:29:54
55,22,M,01:09:35,02:30:10
56,35,W,01:14:04,02:30:10
57,32,M,01:13:37,02:30:12
58,33,M,01:13:00,02:30:20
59,34,W,01:13:28,02:30:20
60,36,M,01:14:28,02:30:41
61,31,W,01:14:39,02:30:45
62,23,W,01:13:42,02:30:46
63,32,W,01:13:51,02:30:52
64,38,W,01:14:22,02:30:55
65,31,M,01:13:13,02:31:01
66,28,M,01:13:18,02:31:06
67,37,W,01:13:29,02:31:06
68,30,M,01:14:56,02:31:10
69,27,M,01:13:52,02:31:13
70,34,M,01:14:07,02:31:18
71,44,M,01:16:36,02:31:18
72,31,M,01:14:40,02:31:34
73,30,M,01:14:40,02:31:41
74,26,M,01:12:43,02:31:44
75,29,M,01:07:09,02:31:49
76,34,M,01:14:59,02:32:05
77,34,M,01:13:46,02:32:09
78,33,M,01:13:31,02:32:10
79,29,M,01:07:27,02:32:12
80,24,M,01:13:16,02:32:15
81,28,M,01:14:04,02:32:15
82,32,M,01:14:27,02:32:18
83,33,M,01:15:59,02:32:27
84,25,M,01:15:16,02:32:35
85,31,M,01:12:43,02:32:36
86,29,M,01:13:34,02:32:45
87,33,M,01:12:57,02:32:54
88,26,M,01:14:40,02:32:57
89,31,M,01:15:02,02:33:15
90,29,M,01:14:41,02:33:19
91,27,M,01:15:06,02:33:24
92,34,M,01:14:12,02:33:26
93,44,M,01:15:40,02:33:30
94,36,M,01:15:37,02:33:37
95,44,M,01:16:08,02:33:45
96,26,M,01:16:15,02:33:49
97,42,M,01:15:33,02:33:53
98,36,M,01:15:17,02:33:56
99,42,M,01:15:37,02:33:59
100,35,M,01:15:30,02:34:03
101,26,M,01:12:56,02:34:05
102,26,M,01:15:19,02:34:06
103,35,W,01:14:29,02:34:11
104,28,M,01:13:13,02:34:15
105,41,M,01:16:56,02:34:18
106,25,M,01:14:28,02:34:21
107,33,M,01:13:30,02:34:31
108,25,M,01:13:51,02:34:33
109,41,M,01:15:41,02:34:37
110,36,M,01:14:58,02:34:40
111,31,M,01:13:32,02:34:41
112,24,M,01:15:26,02:34:42
113,34,M,01:15:19,02:34:57
114,36,W,01:15:38,02:34:58
115,23,M,01:15:09,02:35:01
116,35,M,01:15:10,02:35:04
117,34,M,01:14:00,02:35:05
118,34,W,01:15:24,02:35:10
119,38,M,01:12:39,02:35:10
120,26,M,01:15:25,02:35:21
121,41,M,01:17:40,02:35:27
122,27,M,01:16:36,02:35:28
123,36,W,01:15:19,02:35:28
124,35,M,01:15:12,02:35:30
